Month,Origin,Destination,Airline
JANUARY,SFO,DUB,Aer Lingus
JANUARY,DUB,STN,Ryanair
JANUARY,STN,DUB,Ryanair
JANUARY,DUB,SFO,Aer Lingus
MARCH,SFO,DEN,Frontier
MARCH,DEN,SFO,Frontier
MARCH,SFO,JFK,American
MARCH,PHL,SFO,American
APRIL,OAK,SAN,Spirit
APRIL,SAN,SFO,Frontier
APRIL,SFO,SAN,United
APRIL,SAN,SFO,United
MAY,SFO,FRA,Lufthansa
MAY,FRA,CPH,Lufthansa
MAY,CPH,BCN,Ryanair
JUNE,BCN,DUB,Ryanair
JUNE,ORK,STN,Ryanair
JUNE,STN,ORK,Ryanair
JUNE,DUB,BGY,Ryanair
JUNE,FCO,OPO,Wizz
JULY,LIS,YYZ,Air Canada
JULY,YYZ,SFO,Air Canada
JULY,OAK,SAN,Spirit
AUGUST,SAN,OAK,Spirit
AUGUST,SFO,ICN,United
AUGUST,ICN,SFO,United
AUGUST,OAK,SAN,Spirit
AUGUST,SAN,OAK,Spirit
SEPTEMBER,SFO,LAX,United
SEPTEMBER,LAX,SFO,Frontier
SEPTEMBER,SFO,BOS,United
SEPTEMBER,BOS,SFO,United
OCTOBER,SFO,AUS,Alaska
OCTOBER,AUS,SFO,Alaska
OCTOBER,SJC,DEN,Frontier
OCTOBER,DEN,SFO,Frontier
OCTOBER,SFO,DTW,United
NOVEMBER,DTW,SFO,United
DECEMBER,SFO,LHR,British
DECEMBER,LHR,ORK,Aer Lingus
DECEMBER,DUB,LHR,British
DECEMBER,LHR,PHL,American
DECEMBER,PHL,SFO,American